,authors,source.title,title,removeReason,Further classification for removals due to IC3
101,"Van Valkenhoef G., Tervonen T., De Brock B., Postmus D.",Information and Software Technology,Quantitative release planning in extreme programming,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (release planning generating)
102,T. Um; N. Kim; D. Lee; H. P. In,"2011 First ACIS/JNU International Conference on Computers, Networks, Systems and Industrial Engineering",A Quality Attributes Evaluation Method for an Agile Approach,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (software quality)
103,B. Curtis; J. Sappidi; J. Subramanyam,2011 Agile Conference,Measuring the Structural Quality of Business Applications,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (software quality)
104,M. Daneva; N. Ahituv,16th International Conference on Evaluation & Assessment in Software Engineering (EASE 2012),What agile ERP consultants think of requirements engineering for inter-organizational ERP Systems: Insights from a Focus Group in BeNeLux,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (Enterprise Resource Planning)
105,O. Aktunc,2012 IEEE 23rd International Symposium on Software Reliability Engineering Workshops,Entropy Metrics for Agile Development Processes,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (software quality)
106,M. G. Stochel; M. R. Wawrowski; J. J. Waskiel,2012 IEEE 36th Annual Computer Software and Applications Conference Workshops,Adaptive Agile Performance Modeling and Testing,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (software quality)
107,E. Hasnain; T. Hall; M. Shepperd,2013 6th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE),Using experimental games to understand communication and trust in Agile software teams,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (communication)
108,R. Schwanke; L. Xiao; Y. Cai,2013 35th International Conference on Software Engineering (ICSE),Measuring architecture quality by structure plus history analysis,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (software quality)
109,H. Huijgens; R. v. Solingen,2013 Joint Conference of the 23rd International Workshop on Software Measurement and the 8th International Conference on Software Process and Product Measurement,Measuring Best-in-Class Software Releases,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (software release)
110,Y. Rafique; V. B. Mi≈°iƒá,IEEE Transactions on Software Engineering,The Effects of Test-Driven Development on External Quality and Productivity: A Meta-Analysis,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (Test-driven development)
111,J. Dumas-Monette; S. Trudel,2014 Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement,Requirements Engineering Quality Revealed through Functional Size Measurement: An Empirical Study in an Agile Context,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (Quality in requirements)
112,S. Chopra,"Proceedings of 3rd International Conference on Reliability, Infocom Technologies and Optimization",Implementing Agile in old technology projects,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (adoption)
113,D. M. Shawky; S. K. Abd-El-Hafiz,2014 9th International Conference on Software Paradigm Trends (ICSOFT-PT),The impact of agile approaches on software quality attributes an empirical study,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (adoption and software quality)
114,"Nikitina N,Kajko-Mattsson M",Proceedings of the 2014 International Conference on Software and System Process,Guiding the Adoption of Software Development Methods,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (adoption)
115,"Ayed H,Vanderose B,Habra N",Proceedings of the 1st International Workshop on Rapid Continuous Software Engineering,Supported Approach for Agile Methods Adaptation: An Adoption Study,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (adoption)
116,R. Swamidurai; B. Dennis; U. Kannan,IEEE SOUTHEASTCON 2014,Investigating the impact of peer code review and pair programming on test-driven development,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (code review)
117,"Moe NB,≈†mite D,≈†undefinedblis A,B√∂rjesson AL,Andr√©asson P",Proceedings of the 8th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,Networking in a Large-Scale Distributed Agile Project,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (human aspect)
118,Drury-Grogan M.L.,Information and Software Technology,Performance on agile teams: Relating iteration objectives and critical decisions to project management success factors,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (performance evaluation)
119,S. ƒåelar; M. Turiƒá; L. Vickoviƒá,2014 22nd Telecommunications Forum Telfor (TELFOR),Method for personal capability assessment in agile teams using personal points,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (performance measurement)
120,"ƒåelar S., Turiƒá M., Vickoviƒá L.","2014 22nd Telecommunications Forum, TELFOR 2014 - Proceedings of Papers",Method for personal capability abebment in agile teams using personal points,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (productivity evaluation)
121,"Febles Parker ME,Fernandez Del Monte Y",,"The Agile Management of Development Projects of Software Combining Scrum, Kanban and Expert Consultation",IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (software quality)
122,A. Agarwal; N. K. Garg; A. Jain,2014 International Conference on Reliability Optimization and Information Technology (ICROIT),Quality assurance for Product development using Agile,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (software quality)
123,"Nandakumar R,Lal AK,Parmar RM",SIGSOFT Softw. Eng. Notes,State of the Art in Software Quality Assurance,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (software quality)
124,P. Rotella; S. Chulani,2014 IEEE International Symposium on Software Reliability Engineering Workshops,Predicting Release Quality,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (software quality)
125,R. Popli; N. Chauhan; H. Sharma,2014 International Conference on Issues and Challenges in Intelligent Computing Techniques (ICICT),Prioritising user stories in agile environment,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (wi prioritization)
126,A. E. D. Hamouda,2014 Agile Conference,Using Agile Story Points as an Estimation Technique in CMMI Organizations,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,not related to software development (adoption)
127,A. M. Alsalemi; E. Yeoh,2015 9th Malaysian Software Engineering Conference (MySEC),A survey on product backlog change management and requirement traceability in agile (Scrum),IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (change management)
128,"Ohsugi N., Fushida K., Inoguchi N., Arai H., Yamanaka H., Niwa T., Fujinuki M., Tomura M., Kitani T.",International Symposium on Empirical Software Engineering and Measurement,Using Trac for Empirical Data Collection and Analysis in Developing Small and Medium-Sized Enterprise Systems,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (data collection)
129,R. Nƒõmec,2015 Federated Conference on Computer Science and Information Systems (FedCSIS),Assessment of query execution performance using selected Business Intelligence tools and experimental agile oriented data modeling approach,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (data management)
130,"Ramasubbu N., Bharadwaj A., Tayi G.K.",MIS Quarterly: Management Information Systems,"Software process diversity: Conceptualization, measurement, and analysis of impact on project performance",IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (development practice)
131,"Weaver C., Wang Z., Freel S.","9th International Topical Meeting on Nuclear Plant Instrumentation, Control, and Human-Machine Interface Technologies, NPIC and HMIT 2015","Human factors engineering, simulator and operator roadmap to analysis, design and verification & validation",IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (human factor engineering)
132,"Zabkar N,Hovelja T,Urevc J,Mahnic V",,Introducing Agile Software Development: Lessons Learned from the First Scrum Project in a Slovenian Company,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (lesson learn of scrum adoption)
133,"van Kelle E,van der Wijst P,Plaat A,Visser J",Proceedings of the Eighth International Workshop on Cooperative and Human Aspects of Software Engineering,An Empirical Study into Social Success Factors for Agile Software Development,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (social factor on project success)
134,S. Yamada; R. Kii,"2015 4th International Conference on Reliability, Infocom Technologies and Optimization (ICRITO) (Trends and Future Directions)",Software quality analysis for agile development,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (softwar equality)
135,"Diebold P,Ostberg JP,Wagner S,Zendler U",,What Do Practitioners Vary in Using Scrum?,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (survey practices)
136,A. Martini; J. Bosch,2015 41st Euromicro Conference on Software Engineering and Advanced Applications,Towards Prioritizing Architecture Technical Debt: Information Needs of Architects and Product Owners,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (technical debt)
137,F. Oliveira; A. Goldman; V. Santos,2015 Agile Conference,Managing Technical Debt in Software Projects Using Scrum: An Action Research,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (technical debt)
138,"Rogers G.P., Miles P.",AUTOTESTCON (Proceedings),Manual testing's newfound place in the automated testing world,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (testing)
139,Ehlers J,Proceedings of the 12th ACM International Conference on Computing Frontiers,Socialness in the Recruiting of Software Engineers,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to software development (job recruitment)
140,"Zha W., Anand S.",Journal of Manufacturing Processes,Geometric approaches to input file modification for part quality improvement in additive manufacturing,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to software development (manufacturing)
141,"Mendes TS,de F. Farias MA,Mendon√ßa M,Soares HF,Kalinowski M,Sp√≠nola RO",Proceedings of the 31st Annual ACM Symposium on Applied Computing,Impacts of Agile Requirements Documentation Debt on Software Projects: A Retrospective Study,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,"Not related to effort estimation (the paper investigate the imapct of documentation debt on the addition of maintenance task)
"
142,L. Benedicenti; F. Cotugno; P. Cianfrini; A. Messina; W. Pedrycz; A. Sillitti; G. Succi,2016 IEEE/ACM 38th International Conference on Software Engineering Companion (ICSE-C),Applying Scrum to the Army - A Case Study,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (adoption)
143,G. Rodr√≠guez; √Å. Soria; M. Campo,IEEE Transactions on Education,Measuring the Impact of Agile Coaching on Students‚ Performance,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (coaching)
144,"Garousi V., Co≈ükun√ßay A., Demir√∂rs O., Yazici A.",Journal of Systems and Software,Cross-factor analysis of software engineering practices versus practitioner demographics: An exploratory study in Turkey,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (development practice)
145,M. Rajkumar; A. K. Pole; V. S. Adige; P. Mahanta,"2016 International Conference on Advances in Computing, Communication, & Automation (ICACCA) (Spring)",DevOps culture and its impact on cloud delivery and software development,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (devops)
146,D. P. Harvie; A. Agah,IEEE Transactions on Software Engineering,Targeted Scrum: Applying Mission Command to Agile Software Development,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (evaluation of development practice)
147,T. E. F√¶gri; V. Stray; N. B. Moe,2016 IEEE 11th International Conference on Global Software Engineering (ICGSE),Shared Knowledge in Virtual Software Teams: A Preliminary Framework,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (knowledge management)
148,P. Jain; A. Sharma; L. Ahuja,"2016 5th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)",ISM based identification of quality attributes for agile development,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (software quality)
149,M. Seyam; D. S. McCrickard; S. Niu; A. Esakia; W. Kim,2016 IEEE Frontiers in Education Conference (FIE),"Teaching mobile application development through lectures, interactive tutorials, and Pair Programming",IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (teaching)
150,M. A. Alrshah; M. Othman; B. M. Ali; Z. B. M. Hanapi,IEEE Access,Modeling the Throughput of the Linux-Based Agile-SD Transmission Control Protocol,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to software development (networking)
151,"Ahmed AR,Tayyab M,Bhatti SN,Alzahrani AJ,Babar MI",,Impact of Story Point Estimation on Product using Metrics in Scrum Development Process,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (focusing on project management rather than estimation)
152,"Judd S,Sullivan M,Stern J",Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education,Agile Development in Project-Based Curriculum at Scale for Middle and High School Girls (Abstract Only),IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (adoption)
153,"Roslin E.N., Mahfuz M.H.M., Othman J., Zain N.M., Ahamat M.A.",International Journal of Applied Engineering Research,A model of agile system in automotive service industry,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (adoption)
154,C. Wang; X. Xie; P. Liang; J. Xuan,2017 24th Asia-Pacific Software Engineering Conference (APSEC),Multi-Perspective Visualization to Assist Code Change Review,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (code review)
155,W. Septian; W. Gata,2017 11th International Conference on Information & Communication Technology and System (ICTS),Software development framework on small team using Agile Framework for Small Projects (AFSP) with neural network estimation,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (development framework)
156,"Rosenberg D., Boehm B.W., Wang B., Qi K.",ACM International Conference Proceeding Series,"Rapid, evolutionary, reliable, scalable system and software development: The resilient agile process",IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (development framework)
157,"Hohl P,Ghofrani J,M√ºnch J,Stupperich M,Schneider K",Proceedings of the 2017 International Conference on Software and System Process,Searching for Common Ground: Existing Literature on Automotive Agile Software Product Lines,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (literature review of agile methods)
158,N. Keshta; Y. Morgan,"2017 8th IEEE Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)",Comparison between traditional plan-based and agile software processes according to team size & project domain (A systematic literature review),IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (literature review of plan-based agile methods)
159,Pospieszny P.,ACM International Conference Proceeding Series,Software estimation - towards prescriptive analytics,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (research direction)
160,M. Krasich,2017 Annual Reliability and Maintainability Symposium (RAMS),Mathematical models and software reliability can different mathematics fit all phases of SW lifecycle?,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (software reliability)
161,"Joseph A.K., Radhamani G.",Journal of Testing and Evaluation,Hybrid test case optimization approach using genetic algorithm with adaptive neuro fuzzy inference systemfor regression testing,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (test case prioritization)
162,K. Ghane,2017 IEEE Technology & Engineering Management Conference (TEMSCON),Quantitative planning and risk management of Agile Software Development,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,"Not related to effort estimation(evaluation of OO metrics for design effort and LOC, not development effort)"
163,"Weflen E., Korniejczuk K., Lau S., Kryk S., MacKenzie C., Rivero I.V.",IISE Annual Conference and Expo 2018,Application of Bayesian belief network for agile kanban backlog estimation,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (they predict time from task created to task implementation start)
164,"Razzak MA,Richardson I,Noll J,Canna CN,Beecham S",Proceedings of the 13th International Conference on Global Software Engineering,Scaling Agile across the Global Organization: An Early Stage Industrial SAFe Self-Assessment,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (adoption)
165,"Shurrab J., Hussain M.","Journal of Engineering, Design and Technology",An empirical study of the impact of lean on the performance of the construction industry in UAE,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (adoption)
166,P. Rachow; S. Schr√∂der; M. Riebisch,2018 25th Australasian Software Engineering Conference (ASWEC),Missing Clean Code Acceptance and Support in Practice - An Empirical Study,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (clean code)
167,H. Zhou; Y. Hu; J. Su; M. Chi; C. de Laat; Z. Zhao,2018 IEEE 11th International Conference on Cloud Computing (CLOUD),Empowering Dynamic Task-Based Applications with Agile Virtual Infrastructure Programmability,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (evaluation of a software)
168,A. S. B. Rani; A. R. N. B. Kamal,2018 IEEE International Conference on Computational Intelligence and Computing Research (ICCIC),Text Mining to Concept Mining: Leads Feature Location in Software System,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (maintenenace)
169,"Schuh G., Rebentisch E., D√∂lle C., Mattern C., Volevach G., Menges A.",Procedia CIRP,Defining Scaling Strategies for the Improvement of Agility Performance in Product Development Projects,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (scalability)
170,C. Matthies; R. Teusner; G. Hesse,2018 IEEE Frontiers in Education Conference (FIE),Beyond Surveys: Analyzing Software Development Artifacts to Assess Teaching Efforts,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (teaching)
171,"Hariharan S., Rengarajan A., Prem Kumar R.",International Journal of Innovative Technology and Exploring Engineering,Scrum based scaling using agile method to test software projects and its future solutions using in artificial neural networks,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (adoption)
172,A. Z. H. Yang; D. Alencar da Costa; Y. Zou,2019 IEEE/ACM 16th International Conference on Mining Software Repositories (MSR),Predicting Co-Changes between Functionality Specifications and Source Code in Behavior Driven Development,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,"Not related to effort estimation (identify co-changes between requirements and code)
"
173,K. B. Ijaz; I. Inayat; F. Allah Bukhsh,2019 45th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),Non-functional Requirements Prioritization: A Systematic Literature Review,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,"Not related to effort estimation (NFR)
"
174,N. Raitubu; K. R. Sungkono; R. Sarno; C. S. Wahyuni,2019 International Seminar on Application for Technology of Information and Communication (iSemantic),Detection of Bottleneck and Social Network in Business Process of Agile Development,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (performance evaluation)
175,Y. A. Rindri; R. Hartanto; R. Ferdiana,2019 5th International Conference on Science and Technology (ICST),API Design and Development for Developer Payroll in Startups Based on Agile Productivity Factors,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (performance evaluation)
176,"Riesener M., Doelle C., Schloesser S., Schuh G.",Proceedings of the ASME Design Engineering Technical Conference,Prototype design in agile product development processes for technical systems,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (prototype design)
177,"Rojas L.A., Mac√≠as J.A.",Journal of Systems and Software,Toward collisions produced in requirements rankings: A qualitative approach and experimental study,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (requirements prioritization)
178,J. Kahles; J. T√∂rr√∂nen; T. Huuhtanen; A. Jung,"2019 12th IEEE Conference on Software Testing, Validation and Verification (ICST)",Automating Root Cause Analysis via Machine Learning in Agile Software Testing Environments,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,"Not related to effort estimation (root cause analysis)
"
179,"Madeyski L., Kawalerowicz M.",Journal of Intelligent and Fuzzy Systems,Empirical evaluation of continuous test-driven development in industrial settings,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (TDD)
180,Al-Ratrout S.,International Journal of Engineering and Advanced Technology,Practical implementation of agile approaches in teaching process,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (teaching)
181,F. Rainho; J. Barreiros,2019 14th Iberian Conference on Information Systems and Technologies (CISTI),Agile Process Optimization: An Approach Using the CMMI and GQM,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to software development (CMMI)
182,"Briatore S., Golkar A.","Proceedings of the International Astronautical Congress, IAC",An agile scrum methodology tool for electronics design,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to software development (hardware)
